Fe,M,S1,S2,S3,S4,Ni,Co,Cr,Mn,Se,S,Te
1.921485855297377,4.799,-0.8001803122029952,-1.5095488026184336,-1.0713271155271038,-0.7796764631901978,-0.12979276043770768,-0.5191956197049424,-0.5189088846046704,-0.5155365543538067,-0.7080827744477431,1.4144575395270493,-0.7062531553742205
1.4693715364038766,2.827,0.18878614528950724,-1.5095488026184336,-1.0713271155271038,-0.7796764631901978,0.2634747812927126,-0.5191956197049424,-0.5189088846046704,-0.5155365543538067,-0.7080827744477431,1.4144575395270493,-0.7062531553742205
1.4693715364038766,3.747,0.18878614528950724,-1.5095488026184336,-1.0713271155271038,-0.7796764631901978,0.2634747812927126,-0.5191956197049424,-0.5189088846046704,-0.5155365543538067,-0.7080827744477431,1.4144575395270493,-0.7062531553742205
1.4693715364038766,2.652,0.18878614528950724,-1.5095488026184336,-1.0713271155271038,-0.7796764631901978,0.2634747812927126,-0.5191956197049424,-0.5189088846046704,-0.5155365543538067,-0.7080827744477431,1.4144575395270493,-0.7062531553742205
1.4693715364038766,3.178,-0.8001803122029952,-0.4112358518512064,-1.0713271155271038,-0.7796764631901978,0.2634747812927126,-0.5191956197049424,-0.5189088846046704,-0.5155365543538067,-0.7080827744477431,1.4144575395270493,-0.7062531553742205
1.4693715364038766,3.049,-0.8001803122029952,-0.4112358518512064,-1.0713271155271038,-0.7796764631901978,0.2634747812927126,-0.5191956197049424,-0.5189088846046704,-0.5155365543538067,-0.7080827744477431,1.4144575395270493,-0.7062531553742205
1.4693715364038766,3.661,-0.8001803122029952,-0.4112358518512064,-1.0713271155271038,-0.7796764631901978,0.2634747812927126,-0.5191956197049424,-0.5189088846046704,-0.5155365543538067,-0.7080827744477431,1.4144575395270493,-0.7062531553742205
1.4693715364038766,3.049,-0.8001803122029952,-0.4112358518512064,-1.0713271155271038,-0.7796764631901978,0.2634747812927126,-0.5191956197049424,-0.5189088846046704,-0.5155365543538067,-0.7080827744477431,1.4144575395270493,-0.7062531553742205
1.4693715364038766,3.179,-0.8001803122029952,-1.5095488026184336,-1.0713271155271038,0.043946778294491236,0.2634747812927126,-0.5191956197049424,-0.5189088846046704,-0.5155365543538067,-0.7080827744477431,1.4144575395270493,-0.7062531553742205
1.4693715364038766,3.049,-0.8001803122029952,-1.5095488026184336,-1.0713271155271038,0.043946778294491236,0.2634747812927126,-0.5191956197049424,-0.5189088846046704,-0.5155365543538067,-0.7080827744477431,1.4144575395270493,-0.7062531553742205
