Ax_By_Cz,A,B,C,x,y,z,structure,S1,S2,S3,S4,Energy,Av_chg_x,Av_chg_y,Avg_chg_z,Charge,M,state
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,3",2,0,0,0,-146.05795515,8.5,10.0,3.9,201.934,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,4",2,0,0,0,-145.84589609,8.5,10.0,3.9,201.939,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,5",1,1,0,0,-146.05500178,8.5,10.0,3.9,201.933,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,6",1,1,0,0,-146.10822622,8.5,10.0,3.9,201.933,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,7",1,1,0,0,-146.08624656,8.5,10.0,3.9,201.935,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,8",1,1,0,0,-146.10822623,8.5,10.0,3.9,201.933,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,13",1,0,0,1,-146.05499971,8.5,10.0,3.9,201.933,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,14",1,0,0,1,-146.10822126,8.5,10.0,3.9,201.933,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,15",1,0,0,1,-146.08624372,8.5,10.0,3.9,201.935,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"1,16",1,0,0,1,-146.10822225,8.5,10.0,3.9,201.933,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"5,9",0,1,1,0,-146.05499972,8.5,10.0,3.9,201.933,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"5,10",0,1,1,0,-146.10822072,8.5,10.0,3.9,201.933,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"5,11",0,1,1,0,-146.08624372,8.5,10.0,3.9,201.935,0.0,0.0
Fe14_Ni2_Te16,Fe,Ni,Te,0.875,0.125,1,"5,12",0,1,1,0,-146.10822158,8.5,10.0,3.9,201.933,0.0,0.0
Fe15_Co1_S16,Fe,Co,S,0.9375,0.0625,1,"1,",1,0,0,0,-215.08112861,7.5,8.5,3.7,180.313,5.496,1.0
Fe14_Co2_S16,Fe,Co,S,0.875,0.125,1,"1,2",2,0,0,0,-213.96218154,7.5,8.5,3.7,181.248,4.478,1.0
Fe14_Co2_S16,Fe,Co,S,0.875,0.125,1,"1,3",2,0,0,0,-213.92674979,7.5,8.5,3.7,181.247,3.84,1.0
Fe14_Co2_S16,Fe,Co,S,0.875,0.125,1,"1,4",2,0,0,0,-213.96218095,7.5,8.5,3.7,181.248,4.478,1.0
Fe14_Co2_S16,Fe,Co,S,0.875,0.125,1,"1,5",1,1,0,0,-213.94992317,7.5,8.5,3.7,181.245,4.608,1.0
Fe14_Co2_S16,Fe,Co,S,0.875,0.125,1,"1,6",1,1,0,0,-213.96522298,7.5,8.5,3.7,181.247,4.586,1.0
Fe14_Co2_S16,Fe,Co,S,0.875,0.125,1,"1,7",1,1,0,0,-213.95864061,7.5,8.5,3.7,181.249,4.921,1.0
Fe14_Co2_S16,Fe,Co,S,0.875,0.125,1,"1,8",1,1,0,0,-213.96531474,7.5,8.5,3.7,181.247,4.589,1.0
Fe14_Co2_S16,Fe,Co,S,0.875,0.125,1,"1,13",1,0,0,1,-213.94991632,7.5,8.5,3.7,181.245,4.608,1.0
Fe14_Co2_S16,Fe,Co,S,0.875,0.125,1,"1,14",1,0,0,1,-213.9653176,7.5,8.5,3.7,181.247,4.591,1.0
Fe14_Co2_S16,Fe,Co,S,0.875,0.125,1,"1,15",1,0,0,1,-213.95863391,7.5,8.5,3.7,181.249,4.921,1.0
Fe14_Co2_S16,Fe,Co,S,0.875,0.125,1,"1,16",1,0,0,1,-213.96531812,7.5,8.5,3.7,181.247,4.591,1.0
Fe14_Co2_S16,Fe,Co,S,0.875,0.125,1,"5,9",0,1,1,0,-213.9499163,7.5,8.5,3.7,181.245,4.608,1.0
Fe14_Co2_S16,Fe,Co,S,0.875,0.125,1,"5,10",0,1,1,0,-213.96531308,7.5,8.5,3.7,181.247,4.59,1.0
Fe14_Co2_S16,Fe,Co,S,0.875,0.125,1,"5,11",0,1,1,0,-213.95863391,7.5,8.5,3.7,181.249,4.921,1.0
Fe14_Co2_S16,Fe,Co,S,0.875,0.125,1,"5,12",0,1,1,0,-213.96531791,7.5,8.5,3.7,181.247,4.591,1.0
Fe15_Co1_Se16,Fe,Co,Se,0.9375,0.0625,1,"1,",1,0,0,0,-191.72504081,7.9,8.8,4.0,191.825,0.0,0.0
Fe14_Co2_Se16,Fe,Co,Se,0.875,0.125,1,"1,2",2,0,0,0,-190.75023031,7.9,8.8,4.0,192.713,0.0,0.0
Fe14_Co2_Se16,Fe,Co,Se,0.875,0.125,1,"1,3",2,0,0,0,-190.75692944,7.9,8.8,4.0,192.713,0.0,0.0
Fe14_Co2_Se16,Fe,Co,Se,0.875,0.125,1,"1,4",2,0,0,0,-190.75023025,7.9,8.8,4.0,192.713,0.0,0.0
Fe14_Co2_Se16,Fe,Co,Se,0.875,0.125,1,"1,5",1,1,0,0,-190.75072199,7.9,8.8,4.0,192.711,0.0,0.0
Fe14_Co2_Se16,Fe,Co,Se,0.875,0.125,1,"1,6",1,1,0,0,-190.76135946,7.9,8.8,4.0,192.712,0.0,0.0
Fe14_Co2_Se16,Fe,Co,Se,0.875,0.125,1,"1,7",1,1,0,0,-190.75467288,7.9,8.8,4.0,192.712,0.0,0.0
Fe14_Co2_Se16,Fe,Co,Se,0.875,0.125,1,"1,8",1,1,0,0,-190.76135937,7.9,8.8,4.0,192.712,0.0,0.0
Fe14_Co2_Se16,Fe,Co,Se,0.875,0.125,1,"1,13",1,0,0,1,-190.75071288,7.9,8.8,4.0,192.711,0.0,0.0
Fe14_Co2_Se16,Fe,Co,Se,0.875,0.125,1,"1,14",1,0,0,1,-190.76134738,7.9,8.8,4.0,192.712,0.0,0.0
Fe14_Co2_Se16,Fe,Co,Se,0.875,0.125,1,"1,15",1,0,0,1,-190.75466643,7.9,8.8,4.0,192.712,0.0,0.0
Fe14_Co2_Se16,Fe,Co,Se,0.875,0.125,1,"1,16",1,0,0,1,-190.76134747,7.9,8.8,4.0,192.712,0.0,0.0
Fe14_Co2_Se16,Fe,Co,Se,0.875,0.125,1,"5,9",0,1,1,0,-190.75071288,7.9,8.8,4.0,192.711,0.0,0.0
Fe14_Co2_Se16,Fe,Co,Se,0.875,0.125,1,"5,10",0,1,1,0,-190.76134799,7.9,8.8,4.0,192.712,0.0,0.0
Fe14_Co2_Se16,Fe,Co,Se,0.875,0.125,1,"5,11",0,1,1,0,-190.75466643,7.9,8.8,4.0,192.712,0.0,0.0
Fe14_Co2_Se16,Fe,Co,Se,0.875,0.125,1,"5,12",0,1,1,0,-190.76134801,7.9,8.8,4.0,192.712,0.0,0.0
Fe15_Co1_Te16,Fe,Co,Te,0.9375,0.0625,1,"1,",1,0,0,0,-151.21701057,8.5,9.0,3.8,199.074,0.0,0.0
Fe14_Co2_Te16,Fe,Co,Te,0.875,0.125,1,"1,2",2,0,0,0,-150.26915745,8.5,9.0,3.8,199.9,0.0,0.0
Fe14_Co2_Te16,Fe,Co,Te,0.875,0.125,1,"1,3",2,0,0,0,-150.27758224,8.5,9.0,3.8,199.899,0.0,0.0
Fe14_Co2_Te16,Fe,Co,Te,0.875,0.125,1,"1,4",2,0,0,0,-150.26915766,8.5,9.0,3.8,199.9,0.0,0.0
Fe14_Co2_Te16,Fe,Co,Te,0.875,0.125,1,"1,5",1,1,0,0,-150.26246578,8.5,9.0,3.8,199.897,0.0,0.0
Fe14_Co2_Te16,Fe,Co,Te,0.875,0.125,1,"1,6",1,1,0,0,-150.30086085,8.5,9.0,3.8,199.898,0.0,0.0
Fe14_Co2_Te16,Fe,Co,Te,0.875,0.125,1,"1,7",1,1,0,0,-150.28645439,8.5,9.0,3.8,199.897,0.0,0.0
Fe14_Co2_Te16,Fe,Co,Te,0.875,0.125,1,"1,8",1,1,0,0,-150.30086087,8.5,9.0,3.8,199.898,0.0,0.0
Fe14_Co2_Te16,Fe,Co,Te,0.875,0.125,1,"1,13",1,0,0,1,-150.26246111,8.5,9.0,3.8,199.897,0.0,0.0
Fe14_Co2_Te16,Fe,Co,Te,0.875,0.125,1,"1,14",1,0,0,1,-150.30085184,8.5,9.0,3.8,199.898,0.0,0.0
Fe14_Co2_Te16,Fe,Co,Te,0.875,0.125,1,"1,15",1,0,0,1,-150.28645285,8.5,9.0,3.8,199.897,0.0,0.0
Fe14_Co2_Te16,Fe,Co,Te,0.875,0.125,1,"1,16",1,0,0,1,-150.30085209,8.5,9.0,3.8,199.898,0.0,0.0
Fe14_Co2_Te16,Fe,Co,Te,0.875,0.125,1,"5,9",0,1,1,0,-150.2624611,8.5,9.0,3.8,199.897,0.0,0.0
Fe14_Co2_Te16,Fe,Co,Te,0.875,0.125,1,"5,10",0,1,1,0,-150.30085153,8.5,9.0,3.8,199.898,0.0,0.0
Fe14_Co2_Te16,Fe,Co,Te,0.875,0.125,1,"5,11",0,1,1,0,-150.28645289,8.5,9.0,3.8,199.897,0.0,0.0
Fe14_Co2_Te16,Fe,Co,Te,0.875,0.125,1,"5,12",0,1,1,0,-150.3008517,8.5,9.0,3.8,199.898,0.0,0.0
Fe15_Cr1_S16,Fe,Cr,S,0.9375,0.0625,1,"1,",1,0,0,0,-217.60973347,7.5,5.8,3.7,177.842,7.422,1.0
Fe14_Cr2_S16,Fe,Cr,S,0.875,0.125,1,"1,2",2,0,0,0,-218.9653819,7.5,5.8,3.7,176.313,9.088,1.0
Fe14_Cr2_S16,Fe,Cr,S,0.875,0.125,1,"1,3",2,0,0,0,-219.12912429,7.5,5.8,3.7,176.282,4.841,1.0
Fe14_Cr2_S16,Fe,Cr,S,0.875,0.125,1,"1,4",2,0,0,0,-218.96538188,7.5,5.8,,176.313,9.088,1.0
Fe14_Cr2_S16,Fe,Cr,S,0.875,0.125,1,"1,5",1,1,0,0,,,,,,,
Fe14_Cr2_S16,Fe,Cr,S,0.875,0.125,1,"1,6",1,1,0,0,-219.03242634,7.5,5.8,3.7,176.311,9.684,1.0
Fe14_Cr2_S16,Fe,Cr,S,0.875,0.125,1,"1,7",1,1,0,0,,,,,,,
Fe14_Cr2_S16,Fe,Cr,S,0.875,0.125,1,"1,8",1,1,0,0,-219.03242654,7.5,5.8,3.7,176.311,9.684,1.0
Fe14_Cr2_S16,Fe,Cr,S,0.875,0.125,1,"1,13",1,0,0,1,,,,,,,
Fe14_Cr2_S16,Fe,Cr,S,0.875,0.125,1,"1,14",1,0,0,1,-219.0324147,7.5,5.8,3.7,176.311,9.684,1.0
Fe14_Cr2_S16,Fe,Cr,S,0.875,0.125,1,"1,15",1,0,0,1,,,,,,,
Fe14_Cr2_S16,Fe,Cr,S,0.875,0.125,1,"1,16",1,0,0,1,-219.03241403,7.5,5.8,3.7,176.311,9.684,1.0
Fe14_Cr2_S16,Fe,Cr,S,0.875,0.125,1,"5,9",0,1,1,0,,,,,,,
Fe14_Cr2_S16,Fe,Cr,S,0.875,0.125,1,"5,10",0,1,1,0,-219.03241492,7.5,5.8,3.7,176.311,9.684,1.0
Fe14_Cr2_S16,Fe,Cr,S,0.875,0.125,1,"5,11",0,1,1,0,-219.07632022,7.5,5.8,3.7,176.279,2.38,1.0
Fe14_Cr2_S16,Fe,Cr,S,0.875,0.125,1,"5,12",0,1,1,0,-219.03241478,7.5,5.8,3.7,176.311,9.684,1.0
Fe15_Cr1_Se16,Fe,Cr,Se,0.9375,0.0625,1,"1,",1,0,0,0,-193.44920234,7.9,6.2,4.0,189.504,2.574,1.0
Fe14_Cr2_Se16,Fe,Cr,Se,0.875,0.125,1,"1,2",2,0,0,0,-194.00775526,7.9,6.2,4.0,188.077,4.584,1.0
Fe14_Cr2_Se16,Fe,Cr,Se,0.875,0.125,1,"1,3",2,0,0,0,-194.18935676,7.9,6.2,4.0,188.067,4.234,1.0
