Fe,S1,S2,S3,S4,Ni,Co,Cr,Mn,Se,S,Te,M_predicted
0.9315000000000001,0,0,1,0,0.06849999999999999,0,0,0,0,1,0,4.6909021828171795
0.9315000000000001,1,0,0,0,0.06849999999999999,0,0,0,0,1,0,4.661349684953932
0.9309999999999999,0,0,0,1,0.069,0,0,0,0,1,0,4.632126696248194
0.9309999999999999,0,1,0,0,0.069,0,0,0,0,1,0,4.668445768675769
0.9309999999999999,0,0,1,0,0.069,0,0,0,0,1,0,4.68997418281718
0.9309999999999999,1,0,0,0,0.069,0,0,0,0,1,0,4.661349684953932
0.9305,0,0,0,1,0.0695,0,0,0,0,1,0,4.632190696248194
0.9305,0,1,0,0,0.0695,0,0,0,0,1,0,4.66908640970141
0.9305,0,0,1,0,0.0695,0,0,0,0,1,0,4.703563516150514
0.9305,1,0,0,0,0.0695,0,0,0,0,1,0,4.661349684953932
0.93,0,0,0,1,0.07,0,0,0,0,1,0,4.632278196248193
0.93,0,1,0,0,0.07,0,0,0,0,1,0,4.667213076368076
0.93,0,0,1,0,0.07,0,0,0,0,1,0,4.699949766150515
0.93,1,0,0,0,0.07,0,0,0,0,1,0,4.661349684953932
0.9295,0,0,0,1,0.0705,0,0,0,0,1,0,4.6350348629148606
0.9295,0,1,0,0,0.0705,0,0,0,0,1,0,4.6684630763680754
0.9295,0,0,1,0,0.0705,0,0,0,0,1,0,4.699949766150515
0.9295,1,0,0,0,0.0705,0,0,0,0,1,0,4.661349684953932
0.929,0,0,0,1,0.071,0,0,0,0,1,0,4.63386486291486
0.929,0,1,0,0,0.071,0,0,0,0,1,0,4.675733076368076
0.929,0,0,1,0,0.071,0,0,0,0,1,0,4.6918292304362295
0.929,1,0,0,0,0.071,0,0,0,0,1,0,4.661349684953932
0.9285,0,0,0,1,0.07150000000000001,0,0,0,0,1,0,4.63386486291486
0.9285,0,1,0,0,0.07150000000000001,0,0,0,0,1,0,4.689030854145854
0.9285,0,0,1,0,0.07150000000000001,0,0,0,0,1,0,4.696365897102896
0.9285,1,0,0,0,0.07150000000000001,0,0,0,0,1,0,4.655456827811076
0.9279999999999999,0,0,0,1,0.07200000000000001,0,0,0,0,1,0,4.63386486291486
0.9279999999999999,0,1,0,0,0.07200000000000001,0,0,0,0,1,0,4.689030854145854
0.9279999999999999,0,0,1,0,0.07200000000000001,0,0,0,0,1,0,4.696365897102896
0.9279999999999999,1,0,0,0,0.07200000000000001,0,0,0,0,1,0,4.655456827811076
0.9275,0,0,0,1,0.0725,0,0,0,0,1,0,4.635415974025972
0.9275,0,1,0,0,0.0725,0,0,0,0,1,0,4.689030854145854
0.9275,0,0,1,0,0.0725,0,0,0,0,1,0,4.686956313769562
0.9275,1,0,0,0,0.0725,0,0,0,0,1,0,4.656052404734152
0.927,0,0,0,1,0.073,0,0,0,0,1,0,4.642047164502162
0.927,0,1,0,0,0.073,0,0,0,0,1,0,4.689030854145854
0.927,0,0,1,0,0.073,0,0,0,0,1,0,4.685575843684093
0.927,1,0,0,0,0.073,0,0,0,0,1,0,4.656052404734152
0.9265000000000001,0,0,0,1,0.0735,0,0,0,0,1,0,4.6417071645021615
0.9265000000000001,0,1,0,0,0.0735,0,0,0,0,1,0,4.689030854145854
0.9265000000000001,0,0,1,0,0.0735,0,0,0,0,1,0,4.685575843684093
